velocity,moving1,heartrate,grade,lat,lon
1.09E+01,0.00E+00,1.32E+02,-4.40E+00,4.44E+01,8.87E+00
9.40E+00,0.00E+00,1.59E+02,-4.40E+00,4.44E+01,8.82E+00
9.00E+00,8.30E+01,1.56E+02,-4.40E+00,4.44E+01,8.66E+00
7.60E+00,1.09E+02,1.55E+02,-4.40E+00,4.44E+01,8.63E+00
1.04E+01,8.90E+01,1.55E+02,-4.40E+00,4.44E+01,8.60E+00
1.32E+01,1.09E+02,1.41E+02,-4.40E+00,4.44E+01,8.60E+00
1.57E+01,1.14E+02,1.34E+02,-4.40E+00,4.44E+01,8.59E+00
9.10E+00,9.30E+01,1.48E+02,-4.40E+00,4.43E+01,8.51E+00
8.80E+00,9.40E+01,1.59E+02,-4.40E+00,4.43E+01,8.51E+00
9.00E+00,9.50E+01,1.59E+02,-4.40E+00,4.43E+01,8.51E+00
1.24E+01,1.00E+02,1.77E+02,-4.30E+00,4.44E+01,8.73E+00
9.50E+00,8.10E+01,1.55E+02,-4.30E+00,4.44E+01,8.66E+00
1.07E+01,8.10E+01,1.52E+02,-4.30E+00,4.44E+01,8.66E+00
1.79E+01,0.00E+00,1.23E+02,-4.30E+00,4.44E+01,8.67E+00
1.01E+01,0.00E+00,1.59E+02,-4.30E+00,4.44E+01,8.60E+00
